status_id,status_name,status_type,transit
"353142","КЦ. Дубль","invalid","0"
"355770","Отказ по вине водителя","success","0"
"383004","ДЕЗ. Отказ","invalid","0"
"383006","ДЕЗ. Закрыт без денег","invalid","0"
"426188","ПРодажа ЗЧ","valid","0"
"427265","Отказ от привоза. Передумал","success","0"
"427266","Отказ от привоза. Заработало","success","0"
"427267","Отказ от привоза. Не алло","success","0"
"427268","Отказ от привоза. Уже в др. СЦ","success","0"
"427270","Отказ от привоза. Ошибка КЦ","success","0"
"433117","КЦ. Не уговорил","valid","0"
"433126","КЦ. Мастер-СТОП⛔️","valid","1"
"433229","КЦ. Спам🤬","invalid","0"
"946218","Отказ от привоза. По Вине СКК","success","0"
"946219","Отказ от привоза. Вина Логистики","success","0"
"946220","Отказ от привоза. Заработал дома","success","0"
"946221","Отказ КЦ. Слили заказ","valid","1"
"997969","Отказ от привоза. СКК-Сливается","success","0"
"1153995","Кандидат отказался","invalid","0"
"1153996","Не пришел на сбс","invalid","0"
"1154086","Кандидат не але","invalid","0"
"1313106","БТ выезд. КЦ Отказ","invalid","0"
"1327802","БТ выезд. КЦ нецелевой","invalid","0"
"1331682","БТ выезд. КЦ далеко","invalid","0"
"1331683","БТ выезд. КЦ Аутсорс","invalid","0"
"1368491","БТ выезд.КЦ дубль","invalid","0"
"1373811","БТ выезд. КЦ не чиним","invalid","0"
"1459756","Жалоба(дубль)","invalid","0"
"1481221","КЦ. Ремонт по гарантии","valid","0"
"1523210","Отказ от привоза. Производство","success","0"
"1571382","БТ выезд. ЧМ не назначен",\N,"0"
"1543446","Ремонт на аутсорсе","success","0"
"1551999","Пересогласование заказа","success","0"
"1572479","Добить","success","0"
"1576953","Запрос в закупку..Рем.невозможен","success","0"
"1577519","БТ. Долгий ремонт",\N,"0"
"1543743","АвтоРем. Завершен","success","0"
"1587421","Диагностика. Гарантия мск",\N,"0"
"1587422","Подтверждение гарантии. мск",\N,"0"
"1589697","АвтоРем. Завершен СПБ","success","0"
"1639469","Привезет сам СПБ","valid","1"
"1639470","Думает СПБ","valid","1"
"1641038","Думает ЧМ МСК","valid","1"
"1641039","Думает ЧМ СПБ","valid","1"
"1641040","Привезет сам ЧМ МСК","valid","1"
